UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo
MG;Martins Soares;3;85;141;869,8;289,93;202208;FALSO;2022-08-01 00:00:00
MG;Inhapim;3;49;101;795,92;265,31;202208;FALSO;2022-08-01 00:00:00
MG;Ipanema;1567;34911;68617;431692,51;275,49;202209;FALSO;2022-09-01 00:00:00
MG;Pocrane;177;3869;11150;67501,99;381,37;202209;FALSO;2022-09-01 00:00:00
MG;Taparuba;105;3080;6353;43364,51;413;202209;FALSO;2022-09-01 00:00:00
MG;Conceição de Ipanema;105;3440;7178;49139,56;468;202209;FALSO;2022-09-01 00:00:00
MG;Santana do Manhuaçu;148;4284;9384;59835,96;404,3;202209;FALSO;2022-09-01 00:00:00
MG;Simonésia;240;7385;16215;93997,28;391,66;202209;FALSO;2022-09-01 00:00:00
MG;Manhuaçu;184;4540;10527;67378,86;366,19;202209;FALSO;2022-09-01 00:00:00
MG;São José do Mantimento;58;2259;4296;30598,09;527,55;202209;FALSO;2022-09-01 00:00:00
MG;Reduto;10;185;871;3336,9;333,69;202209;FALSO;2022-09-01 00:00:00
MG;Aimorés;135;3776;9204;55346,67;409,98;202209;FALSO;2022-09-01 00:00:00
MG;Expedicionário Alício;67;1908;5893;40680,15;607,17;202209;FALSO;2022-09-01 00:00:00
MG;Conceição do Capim;37;924;1725;13053,8;352,81;202209;FALSO;2022-09-01 00:00:00
MG;Resplendor;135;3013;7331;45554,9;337,44;202209;FALSO;2022-09-01 00:00:00
MG;Itueta;65;2167;4156;29771,57;458,02;202209;FALSO;2022-09-01 00:00:00
MG;Quatituba;47;1142;3158;19235,78;409,27;202209;FALSO;2022-09-01 00:00:00
ES;Baixo Guandu;92;2043;4911;30551,84;332,09;202209;FALSO;2022-09-01 00:00:00
MG;Caratinga;16;345;1222;5668,01;354,25;202209;FALSO;2022-09-01 00:00:00
MG;Piedade de Caratinga;4;69;136;974,9;243,73;202209;FALSO;2022-09-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;5;219;406;2581,04;516,21;202209;FALSO;2022-09-01 00:00:00
MG;SANTO ANTÔNIO DO MANHUAÇU;53;866;2790;17554,7;331,22;202209;FALSO;2022-09-01 00:00:00
MG;Penha do Capim;29;575;1590;11429,42;394,12;202209;FALSO;2022-09-01 00:00:00
MG;Santa Bárbara do Leste;16;301;833;4113,95;257,12;202209;FALSO;2022-09-01 00:00:00
MG;Santa Rita de Minas;4;109;263;1379,67;344,92;202209;FALSO;2022-09-01 00:00:00
MG;Manhuaçu;2;47;111;869,56;434,78;202209;FALSO;2022-09-01 00:00:00
MG;Martins Soares;1;28;58;380,28;380,28;202209;FALSO;2022-09-01 00:00:00
MG;Manhumirim;1;83;201;1258,93;1258,93;202209;FALSO;2022-09-01 00:00:00
MG;Ubaporanga;1;32;55;427,33;427,33;202209;FALSO;2022-09-01 00:00:00
MG;Ipanema;1662;37119;73836;462490,79;278,27;202210;FALSO;2022-10-01 00:00:00
MG;Pocrane;168;3583;10323;61525,94;366,23;202210;FALSO;2022-10-01 00:00:00
MG;Taparuba;104;3030;6305;42947,97;412,96;202210;FALSO;2022-10-01 00:00:00
MG;Conceição de Ipanema;129;3594;7110;49699,56;385,27;202210;FALSO;2022-10-01 00:00:00
MG;Santana do Manhuaçu;151;4834;9904;63662,15;421,6;202210;FALSO;2022-10-01 00:00:00
MG;Simonésia;270;8071;16518;96886,21;358,84;202210;FALSO;2022-10-01 00:00:00
MG;Manhuaçu;192;4538;10049;63168,23;329;202210;FALSO;2022-10-01 00:00:00
MG;São José do Mantimento;66;2201;4686;31254,4;473,55;202210;FALSO;2022-10-01 00:00:00
MG;Reduto;12;209;1117;4231,8;352,65;202210;FALSO;2022-10-01 00:00:00
MG;Aimorés;141;3707;8512;52205,97;370,26;202210;FALSO;2022-10-01 00:00:00
MG;Expedicionário Alício;80;2168;6369;44860,56;560,76;202210;FALSO;2022-10-01 00:00:00
MG;Conceição do Capim;45;1087;2426;18797,21;417,72;202210;FALSO;2022-10-01 00:00:00
MG;Resplendor;158;3692;8765;55293,34;349,96;202210;FALSO;2022-10-01 00:00:00
MG;Itueta;73;2185;4626;31055,1;425,41;202210;FALSO;2022-10-01 00:00:00
MG;Quatituba;45;1026;2690;16636,56;369,7;202210;FALSO;2022-10-01 00:00:00
ES;Baixo Guandu;102;2108;5152;32195,16;315,64;202210;FALSO;2022-10-01 00:00:00
MG;Caratinga;13;114;581;3431,85;263,99;202210;FALSO;2022-10-01 00:00:00
MG;Piedade de Caratinga;2;51;94;606,43;303,22;202210;FALSO;2022-10-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;3;120;194;1243,26;414,42;202210;FALSO;2022-10-01 00:00:00
MG;SANTO ANTÔNIO DO MANHUAÇU;60;1391;4111;25451,98;424,2;202210;FALSO;2022-10-01 00:00:00
MG;Penha do Capim;29;691;2455;17429,77;601,03;202210;FALSO;2022-10-01 00:00:00
MG;Santa Bárbara do Leste;20;278;788;4234,82;211,74;202210;FALSO;2022-10-01 00:00:00
MG;Santa Rita de Minas;10;179;521;2406,89;240,69;202210;FALSO;2022-10-01 00:00:00
MG;Manhuaçu;5;165;279;1757,27;351,45;202210;FALSO;2022-10-01 00:00:00
MG;Martins Soares;3;123;250;1268,06;422,69;202210;FALSO;2022-10-01 00:00:00
